E10000002,Buckinghamshire
E10000003,Cambridgeshire
E10000006,Cumbria
E10000007,Derbyshire
E10000008,Devon
E10000009,Dorset
E10000011,East Sussex
E10000012,Essex
E10000013,Gloucestershire
E10000014,Hampshire
E10000015,Hertfordshire
E10000016,Kent
E10000017,Lancashire
E10000018,Leicestershire
E10000019,Lincolnshire
E10000020,Norfolk
E10000021,Northamptonshire
E10000023,North Yorkshire
E10000024,Nottinghamshire
E10000025,Oxfordshire
E10000027,Somerset
E10000028,Staffordshire
E10000029,Suffolk
E10000030,Surrey
E10000031,Warwickshire
E10000032,West Sussex
E10000034,Worcestershire
S10000001,East Lothian
S10000002,Kinross
S10000003,Kirkcudbright
S10000004,Inverness
S10000005,Moray
S10000006,Renfrew
W10000001,Clywd
W10000002,Gwent
W10000003,Powys
N10000001,Antrim
N10000002,Armagh
N10000003,Londonderry
